seq,feed_to_engine_ns,decision_ns,total_ns
4513,1206012,31,120
4514,1206128,31,109
4515,1206099,32,118
4516,1206079,32,109
4517,1206183,31,116
4518,1206158,33,133
4519,1206258,31,128
4520,1206477,31,109
4521,1206644,36,113
4522,1206749,88,1381
4523,1208012,34,121
4524,1208236,32,126
4525,1208347,27,127
4526,1208463,28,91
4527,1208516,32,121
4528,1208633,32,114
4529,1208735,32,173
4530,1208903,31,140
4531,1209104,29,115
4532,1209323,28,102
4533,1209400,28,115
4534,1209502,26,98
4535,1209691,28,118
4536,1209770,30,117
4537,1209889,33,114
4538,1209862,28,105
4539,1209960,28,115
4540,1210034,32,116
4541,1210249,31,111
4542,1210332,27,113
4543,1210539,32,160
4544,1210850,31,143
4545,1211054,31,121
4546,1211311,31,123
4547,1211437,28,116
4548,1211602,70,268
4549,1211914,28,121
4550,1212185,33,172
4551,1212501,28,107
4552,1212756,32,106
4553,1212909,31,120
4554,1213077,29,102
4555,1213237,32,125
4556,1213202,31,117
4557,1213475,31,189
4558,1213721,27,108
4559,1213984,33,110
4560,1214247,29,113
4561,1214407,30,131
4562,1214586,31,103
4563,1214743,32,125
4564,1214913,28,111
4565,1215069,28,115
4566,1215231,32,120
4567,1215398,28,97
4568,1215365,32,120
4569,1215293,28,102
4570,1215497,28,128
4571,1215478,33,144
4572,1215635,30,125
4573,1215667,31,121
4574,1215613,30,113
4575,1215842,36,140
4576,1215938,31,103
4577,1216048,36,113
4578,1216117,32,105
4579,1216220,30,136
4580,1216210,33,120
4581,1216219,31,111
4582,1216219,32,116
4583,1216214,33,104
4584,1216214,32,117
4585,1216231,32,115
4586,1216472,32,124
4587,1216744,32,153
4588,1216959,31,119
4589,1217229,32,119
4590,1217321,31,105
4591,1217504,32,240
4592,1217620,32,116
4593,1217719,32,107
4594,1217824,33,106
4595,1217905,31,118
4596,1217919,32,109
4597,1218129,32,114
4598,1218214,32,144
4599,1218532,32,141
4600,1218654,30,122
4601,1218859,35,129
4602,1218850,30,125
4603,1218848,31,111
4604,1218951,32,113
4605,1219107,31,106
4606,1219086,32,108
4607,1219198,30,111
4608,1219370,30,92
4609,1221066,40,108
4610,1221006,33,126
4611,1221039,31,119
4612,1221256,72,177
4613,1221386,31,99
4614,1221362,31,104
4615,1221356,32,108
4616,1221332,30,120
4617,1221326,32,120
4618,1221505,32,121
4619,1221439,33,110
4620,1221643,32,123
4621,1221637,32,123
4622,1221754,32,108
4623,1221749,31,121
4624,1221859,32,130
4625,1221849,32,113
4626,1221832,32,100
4627,1221912,34,112
4628,1222013,32,113
4629,1222209,142,1311
4630,1223487,28,123
4631,1223754,32,137
4632,1223857,28,138
4633,1224075,32,137
4634,1224170,33,122
4635,1224289,32,131
4636,1224437,28,108
4637,1224643,32,198
4638,1224726,31,252
4639,1224851,31,121
4640,1224942,27,109
4641,1225043,28,113
4642,1225029,28,100
4643,1225125,32,118
4644,1225127,32,100
4645,1225329,32,170
4646,1225379,28,104
4647,1225580,32,140
4648,1225579,27,92
4649,1225535,28,106
4650,1225518,28,115
4651,1225585,32,104
4652,1225682,28,112
4653,1225765,32,111
4654,1225673,27,106
4655,1225860,27,117
4656,1225854,27,111
4657,1225849,28,122
4658,1225955,32,122
4659,1226067,28,100
4660,1226158,32,107
4661,1226308,28,117
4662,1226292,31,162
4663,1226429,27,91
4664,1226610,33,115
4665,1226691,32,131
4666,1226752,32,123
4667,1226871,27,116
4668,1226837,28,96
4669,1226933,28,93
4670,1226906,27,124
4671,1227021,32,122
4672,1227089,28,115
4673,1227073,28,113
4674,1227145,27,126
4675,1227144,28,111
4676,1227236,79,150
4677,1227273,27,106
4678,1227359,32,208
4679,1227443,36,132
